# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.1254679672420025e-06,-0.0018476406112313,0.75,0.75
0.090823181613814,0.1790191386826336,0.75,0.75
-0.0522640047129243,0.3326934766955673,0.75,0.75
-0.267606430046726,0.2444871640764176,0.75,0.75
-0.5671192982117645,0.1638593915849924,0.75,0.75
-0.749322181858588,0.2548010237514972,0.75,0.75
-0.900241571594961,0.3918640250340104,0.75,0.75
-1.1042005541385151,0.5142642720602453,0.75,0.75
-1.3003438164596446,0.6458853157237172,0.75,0.75
-1.7839981373399496,0.4862198666669428,0.75,0.75
-1.9879818621557208,0.5975342956371605,0.75,0.75
-2.2892352888011374,0.4356139171868562,0.75,0.75
-2.473017798853107,0.5173208639025688,0.75,0.75
-2.7057239840505645,0.3330756407231092,0.75,0.75
-2.9051214221981354,0.4037315733730793,0.75,0.75
-3.172026974905748,0.2639063037931919,0.75,0.75
-3.4420959596754983,0.1037639696151018,0.75,0.75
-3.651235360477585,0.0007626861333847,0.75,0.75
-3.899317191739101,-0.0873704357072711,0.75,0.75
-4.122376349812839,-0.1404541041702032,0.75,0.75
-4.321975975530222,-0.1603324827738106,0.75,0.75
-4.5418593341019005,-0.1875561526976525,0.75,0.75
-4.752376207790803,-0.2092577894218266,0.75,0.75
-5.015912059752736,-0.236383959185332,0.75,0.75
-5.268514156341553,-0.2542962958104908,0.75,0.75
-5.514913196093403,-0.2870036717504263,0.75,0.75
-5.713011584302876,-0.332752457819879,0.75,0.75
-5.970327876508236,-0.3672830886207521,0.75,0.75
-6.240099803835619,-0.3943952964618802,0.75,0.75
-6.483310661860742,-0.3956997389905154,0.75,0.75
-6.706295560055878,-0.4155258387327194,0.75,0.75
-6.923003121570218,-0.4168894658796489,0.75,0.75
-7.142820464505348,-0.4145508441142738,0.75,0.75
-7.350182174879592,-0.4196306341327727,0.75,0.75
-7.568473515508231,-0.4320766017772257,0.75,0.75
-7.796106580819469,-0.4389587533660233,0.75,0.75
-8.022168248076923,-0.4403014625422656,0.75,0.75
-8.243528100894764,-0.4305687756277621,0.75,0.75
-8.457105247071013,-0.4263964141719043,0.75,0.75
-8.700307852355763,-0.4240055242553353,0.75,0.75
-8.901425239804666,-0.4254039307124913,0.75,0.75
-9.133747740124818,-0.4378185234963894,0.75,0.75
-9.334885764110368,-0.4484551204368472,0.75,0.75
-9.54070909548318,-0.462776543572545,0.75,0.75
-9.78863415447995,-0.4806992136873305,0.75,0.75
-10.00068942992948,-0.493159057572484,0.75,0.75
-10.2392892773496,-0.5240360884927213,0.75,0.75
-10.456038116593843,-0.5438760346733034,0.75,0.75
-10.665000124194194,-0.567428667563945,0.75,0.75
-10.884891765424982,-0.5983474748209119,0.75,0.75
-11.09548296110006,-0.6533064898103476,0.75,0.75
-11.326320749125443,-0.6989820240996778,0.75,0.75
-11.568030385649765,-0.7261567777022719,0.75,0.75
-11.767654805385972,-0.7571208444423974,0.75,0.75
-12.012511373846792,-0.7972220992669463,0.75,0.75
-12.261995463748462,-0.8151412229053676,0.75,0.75
-12.522413318918552,-0.8422741577960551,0.75,0.75
-12.776595102972353,-0.8694210187532008,0.75,0.75
-13.013623567356262,-0.8947585467249155,0.75,0.75
-13.219475809601136,-0.9220133707858622,0.75,0.75
-13.465883149881847,-0.9584158263169228,0.75,0.75
-13.715420913649725,-1.0003542308695614,0.75,0.75
-13.950915132299995,-1.0367810567840934,0.75,0.75
-14.178626653912945,-1.0787682109512389,0.75,0.75
-14.443766982061788,-1.1262146811932323,0.75,0.75
-14.66992361616576,-1.1700529493391514,0.75,0.75
-14.883603983093051,-1.212071439716965,0.75,0.75
-15.078592653619124,-1.2615222847089171,0.75,0.75
-15.312573280243669,-1.3182765957899392,0.75,0.75
-15.5371874186676,-1.3695088857784867,0.75,0.75
-15.757132763275877,-1.4244468994438648,0.75,0.75
-15.978645385010168,-1.483076703734696,0.75,0.75
-16.18613923585508,-1.5472807749174535,0.75,0.75
-16.38425834069494,-1.6022675447165966,0.75,0.75
-16.61201529810205,-1.6645786804147065,0.75,0.75
-16.83199781307485,-1.736145426519215,0.75,0.75
-17.04573600308504,-1.8040308244526384,0.75,0.75
-17.268844814854674,-1.8792858715169127,0.75,0.75
-17.49509644275531,-1.9656197857111688,0.75,0.75
-17.71823003672762,-2.051960659213364,0.75,0.75
-17.939817003381904,-2.1438479335047305,0.75,0.75
-18.169232094078325,-2.250498898793012,0.75,0.75
-18.387767094071023,-2.371955363079905,0.75,0.75
-18.575113489932846,-2.4897862221114337,0.75,0.75
-18.76717822888168,-2.626083022914827,0.75,0.75
-18.960797864361663,-2.760528693906963,0.75,0.75
-19.152862616290804,-2.896825486328453,0.75,0.75
-19.34960855630925,-3.034959461539984,0.75,0.75
-19.54948492278345,-3.1786293843761086,0.75,0.75
-19.75873192178551,-3.3296689558774237,0.75,0.75
-19.95549439580645,-3.475193477701396,0.75,0.75
-20.15071024297504,-3.626264398917556,0.75,0.75
-20.345930230105296,-3.779182955157012,0.75,0.75
-20.53804457042133,-3.937651396263391,0.75,0.75
-20.71926231018733,-4.103534779511392,0.75,0.75
-20.88330607820535,-4.258370652329177,0.75,0.75
-21.03799161326606,-4.411379787605256,0.75,0.75
-21.19271432037931,-4.581017676740885,0.75,0.75
-21.34121334605152,-4.75621241889894,0.75,0.75
-21.481933806324378,-4.938815138768405,0.75,0.75
-21.60861484624911,-5.117753938771784,0.75,0.75
-21.73682187270606,-5.281908135395497,0.75,0.75
-21.86659618082922,-5.449754126835614,0.75,0.75
