x_m,y_m,psi_rad,vx_mps,ax_mps2,ay_mps2
-5.500840961315377697e+00,-2.943197585075965073e-01,-3.029370021244853994e+00,4.876213174902626513e+00,2.680736032441553007e-01,1.382298312951021568e+00
-5.739370981921883441e+00,-3.202547782629409645e-01,-3.038028194876433385e+00,5.008558226465343211e+00,2.605696567359494509e-01,1.342178484949121620e+00
-5.977591922124681822e+00,-3.438714978396668620e-01,-3.048681514306561091e+00,5.136782831638575963e+00,2.516863379104794518e-01,1.337213056892625263e+00
-6.214337629839093324e+00,-3.645118935435332497e-01,-3.061363275440122322e+00,5.260244564375822662e+00,2.416312215905058736e-01,1.352115451514405597e+00
-6.448578265917726426e+00,-3.817397236796636895e-01,-3.075064653392862279e+00,5.378414053229081837e+00,2.306460563684771259e-01,1.364104556161398918e+00
-6.679655355617590828e+00,-3.955143034257178059e-01,-3.088418270590806536e+00,5.490890620744299788e+00,2.189991464699376778e-01,1.352212541556110592e+00
-6.907459608268672113e+00,-4.061634797815965037e-01,-3.100310062667324118e+00,5.597413199699019515e+00,2.069751655734437534e-01,1.304956743962144339e+00
-7.132442321716843558e+00,-4.142171485185746072e-01,-3.110237142243478470e+00,5.697865786317743542e+00,1.948641610405283942e-01,1.224160450373010578e+00
-7.355420789478939625e+00,-4.202141367027706353e-01,-3.118267449935884450e+00,5.792277360739547909e+00,1.829492464539796970e-01,1.125004929996249903e+00
-7.577279431502756069e+00,-4.245949468314622610e-01,-3.124656053896343710e+00,5.880815032771723239e+00,1.714917691828459212e-01,1.032696245409637781e+00
-7.798697988059966058e+00,-4.277224630992612076e-01,-3.129403209016056397e+00,5.963769129922393830e+00,1.607151755895523948e-01,9.764477910776089287e-01
-8.020014795511075434e+00,-4.299919123128367326e-01,-3.132065199614824103e+00,6.041530208361275633e+00,1.507897600969387852e-01,9.817847793728778916e-01
-8.241253065278474566e+00,-4.319390138117350508e-01,-3.131934302269669512e+00,6.114558890019332615e+00,1.418197670222678397e-01,1.062995934196504288e+00
-8.462256842782714727e+00,-4.342633741940707948e-01,-3.128442924659617930e+00,6.183349975383543473e+00,1.338338535843943689e-01,1.218276751112903344e+00
-8.682869662955596368e+00,-4.377464870999135949e-01,-3.121519858063836139e+00,6.248392743603726984e+00,1.267797687397917983e-01,1.429668012041825920e+00
-8.903071973989753474e+00,-4.431129547686381565e-01,-3.111688825987489526e+00,6.310129744123335271e+00,1.205238997943691714e-01,1.667844957698342290e+00
-9.123028594161862515e+00,-4.509128487545874808e-01,-3.099864270156177160e+00,6.368916643398096156e+00,1.148560729623175902e-01,1.899541154416669819e+00
-9.343023439859118540e+00,-4.614820812625397561e-01,-3.086977842857909771e+00,6.424985817085652862e+00,1.094997478267387692e-01,2.094335081083318340e+00
-9.563314542684818065e+00,-4.749829191498729508e-01,-3.073647574003437022e+00,6.478416391224834925e+00,1.041273677703804523e-01,2.228561877034694216e+00
-9.784003836924533459e+00,-4.914907222913734719e-01,-3.060090794632818856e+00,6.529113184856033314e+00,9.837997882459514898e-02,2.286466346053914300e+00
-1.000500809130812740e+01,-5.110616848884359520e-01,-3.046322812392006085e+00,6.576796370049430074e+00,9.188968678719611205e-02,2.260473660866840984e+00
-1.022616401641632145e+01,-5.337431623336867936e-01,-3.032512236871056199e+00,6.621002871643229426e+00,8.430342484475517040e-02,2.152207421705851775e+00
-1.044741010944669135e+01,-5.595113942102103444e-01,-3.019298636129129410e+00,6.661099794894185244e+00,7.530658726159344951e-02,1.974171727198533066e+00
-1.066894427845582172e+01,-5.881641137607236391e-01,-3.007853030019913554e+00,6.696309458904822876e+00,6.464502866887134047e-02,1.749895097491311891e+00
-1.089126588851406474e+01,-6.192289661729221129e-01,-2.999571160011812676e+00,6.725744823563056585e+00,5.214376479544657883e-02,1.510259603303272691e+00
-1.111509306192110813e+01,-6.519563065864142359e-01,-2.995507803968583183e+00,6.748453223700269454e+00,3.772076965082860056e-02,1.286074190639406201e+00
-1.134119735192905587e+01,-6.854287259369540308e-01,-2.995854319578111991e+00,6.763465593213885185e+00,2.139480670173288246e-02,1.100224209002401032e+00
-1.157021070414790387e+01,-7.187580131420071572e-01,-2.999758481603332694e+00,6.769848030402002337e+00,3.286965635717287171e-03,9.638486521325018153e-01
-1.180244350628976591e+01,-7.512914376771785419e-01,-3.005570202480738473e+00,6.766752558849602472e+00,-1.638392406984401362e-02,8.785557201790603621e-01
